complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
5s7a_LU8_B_501,proto_test,1,1.3844,True,False,5s7a_LU8_B_501_ligand_refined.sdf,5s7a_LU8_B_501_protein_refined.pdb
5s7b_LU8_A_507,proto_test,1,1.2816,True,False,5s7b_LU8_A_507_ligand_refined.sdf,5s7b_LU8_A_507_protein_refined.pdb
5s7b_LU8_B_501,proto_test,1,1.3292,True,False,5s7b_LU8_B_501_ligand_refined.sdf,5s7b_LU8_B_501_protein_refined.pdb
5s7b_LU8_A_508,proto_test,1,2.9072,False,False,5s7b_LU8_A_508_ligand_refined.sdf,5s7b_LU8_A_508_protein_refined.pdb
5s7b_LU8_A_501,proto_test,1,1.4302,True,False,5s7b_LU8_A_501_ligand_refined.sdf,5s7b_LU8_A_501_protein_refined.pdb
5s7c_LU8_A_501,proto_test,1,1.009,True,False,5s7c_LU8_A_501_ligand_refined.sdf,5s7c_LU8_A_501_protein_refined.pdb
5s7c_LU8_B_501,proto_test,1,1.3947,True,False,5s7c_LU8_B_501_ligand_refined.sdf,5s7c_LU8_B_501_protein_refined.pdb
5s7c_LU8_A_507,proto_test,1,2.4705,False,False,5s7c_LU8_A_507_ligand_refined.sdf,5s7c_LU8_A_507_protein_refined.pdb
5s7d_LU8_A_501,proto_test,1,1.3252,True,False,5s7d_LU8_A_501_ligand_refined.sdf,5s7d_LU8_A_501_protein_refined.pdb
5s7d_LU8_A_509,proto_test,1,2.298,False,False,5s7d_LU8_A_509_ligand_refined.sdf,5s7d_LU8_A_509_protein_refined.pdb
5s7d_LU8_A_508,proto_test,1,2.0448,False,False,5s7d_LU8_A_508_ligand_refined.sdf,5s7d_LU8_A_508_protein_refined.pdb
5s7d_LU8_B_501,proto_test,1,1.3934,True,False,5s7d_LU8_B_501_ligand_refined.sdf,5s7d_LU8_B_501_protein_refined.pdb
5s7e_LU8_B_501,proto_test,1,1.2868,True,False,5s7e_LU8_B_501_ligand_refined.sdf,5s7e_LU8_B_501_protein_refined.pdb
5s7e_LU8_A_501,proto_test,1,1.487,True,False,5s7e_LU8_A_501_ligand_refined.sdf,5s7e_LU8_A_501_protein_refined.pdb
5s7f_LU8_A_508,proto_test,1,1.8433,True,False,5s7f_LU8_A_508_ligand_refined.sdf,5s7f_LU8_A_508_protein_refined.pdb
5s7f_LU8_A_509,proto_test,1,4.1389,False,False,5s7f_LU8_A_509_ligand_refined.sdf,5s7f_LU8_A_509_protein_refined.pdb
5s7f_LU8_A_501,proto_test,1,1.8327,True,False,5s7f_LU8_A_501_ligand_refined.sdf,5s7f_LU8_A_501_protein_refined.pdb
5s7f_LU8_B_501,proto_test,1,1.4778,True,False,5s7f_LU8_B_501_ligand_refined.sdf,5s7f_LU8_B_501_protein_refined.pdb
5s7g_LU8_A_501,proto_test,1,1.2041,True,False,5s7g_LU8_A_501_ligand_refined.sdf,5s7g_LU8_A_501_protein_refined.pdb
5s7g_LU8_B_501,proto_test,1,1.4815,True,False,5s7g_LU8_B_501_ligand_refined.sdf,5s7g_LU8_B_501_protein_refined.pdb
5s7h_LU8_B_501,proto_test,1,1.3381,True,False,5s7h_LU8_B_501_ligand_refined.sdf,5s7h_LU8_B_501_protein_refined.pdb
5s7h_LU8_A_507,proto_test,1,2.119,False,False,5s7h_LU8_A_507_ligand_refined.sdf,5s7h_LU8_A_507_protein_refined.pdb
5s7h_LU8_A_501,proto_test,1,1.2159,True,False,5s7h_LU8_A_501_ligand_refined.sdf,5s7h_LU8_A_501_protein_refined.pdb
5s7h_LU8_A_508,proto_test,1,2.9136,False,False,5s7h_LU8_A_508_ligand_refined.sdf,5s7h_LU8_A_508_protein_refined.pdb
5s7i_LU8_A_508,proto_test,1,3.4442,False,False,5s7i_LU8_A_508_ligand_refined.sdf,5s7i_LU8_A_508_protein_refined.pdb
