complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
5s79_LU8_A_507,proto_test,1,1.7506,True,False,5s79_LU8_A_507_ligand_refined.sdf,5s79_LU8_A_507_protein_refined.pdb
5s79_LU8_B_501,proto_test,1,1.4549,True,False,5s79_LU8_B_501_ligand_refined.sdf,5s79_LU8_B_501_protein_refined.pdb
5s7a_LU8_A_507,proto_test,1,1.7443,True,False,5s7a_LU8_A_507_ligand_refined.sdf,5s7a_LU8_A_507_protein_refined.pdb
5s7a_LU8_A_501,proto_test,1,1.3999,True,False,5s7a_LU8_A_501_ligand_refined.sdf,5s7a_LU8_A_501_protein_refined.pdb
5s7a_LU8_A_508,proto_test,1,2.9414,False,False,5s7a_LU8_A_508_ligand_refined.sdf,5s7a_LU8_A_508_protein_refined.pdb
5s7a_LU8_B_501,proto_test,1,1.4677,True,False,5s7a_LU8_B_501_ligand_refined.sdf,5s7a_LU8_B_501_protein_refined.pdb
5s7b_LU8_A_507,proto_test,1,1.4786,True,False,5s7b_LU8_A_507_ligand_refined.sdf,5s7b_LU8_A_507_protein_refined.pdb
5s7b_LU8_B_501,proto_test,1,1.6352,True,False,5s7b_LU8_B_501_ligand_refined.sdf,5s7b_LU8_B_501_protein_refined.pdb
5s7b_LU8_A_508,proto_test,1,3.0098,False,False,5s7b_LU8_A_508_ligand_refined.sdf,5s7b_LU8_A_508_protein_refined.pdb
5s7b_LU8_A_501,proto_test,1,1.5689,True,False,5s7b_LU8_A_501_ligand_refined.sdf,5s7b_LU8_A_501_protein_refined.pdb
5s7c_LU8_A_501,proto_test,1,1.431,True,False,5s7c_LU8_A_501_ligand_refined.sdf,5s7c_LU8_A_501_protein_refined.pdb
5s7c_LU8_B_501,proto_test,1,1.4427,True,False,5s7c_LU8_B_501_ligand_refined.sdf,5s7c_LU8_B_501_protein_refined.pdb
5s7c_LU8_A_507,proto_test,1,1.8071,True,False,5s7c_LU8_A_507_ligand_refined.sdf,5s7c_LU8_A_507_protein_refined.pdb
5s7d_LU8_A_501,proto_test,1,1.3314,True,False,5s7d_LU8_A_501_ligand_refined.sdf,5s7d_LU8_A_501_protein_refined.pdb
5s7d_LU8_A_509,proto_test,1,2.3081,False,False,5s7d_LU8_A_509_ligand_refined.sdf,5s7d_LU8_A_509_protein_refined.pdb
5s7d_LU8_A_508,proto_test,1,1.6742,True,False,5s7d_LU8_A_508_ligand_refined.sdf,5s7d_LU8_A_508_protein_refined.pdb
5s7d_LU8_B_501,proto_test,1,1.3844,True,False,5s7d_LU8_B_501_ligand_refined.sdf,5s7d_LU8_B_501_protein_refined.pdb
5s7e_LU8_B_501,proto_test,1,1.4227,True,False,5s7e_LU8_B_501_ligand_refined.sdf,5s7e_LU8_B_501_protein_refined.pdb
5s7e_LU8_A_501,proto_test,1,1.4015,True,False,5s7e_LU8_A_501_ligand_refined.sdf,5s7e_LU8_A_501_protein_refined.pdb
5s7f_LU8_A_508,proto_test,1,1.7389,True,False,5s7f_LU8_A_508_ligand_refined.sdf,5s7f_LU8_A_508_protein_refined.pdb
5s7f_LU8_A_509,proto_test,1,4.1159,False,False,5s7f_LU8_A_509_ligand_refined.sdf,5s7f_LU8_A_509_protein_refined.pdb
5s7f_LU8_A_501,proto_test,1,1.4483,True,False,5s7f_LU8_A_501_ligand_refined.sdf,5s7f_LU8_A_501_protein_refined.pdb
5s7f_LU8_B_501,proto_test,1,1.3928,True,False,5s7f_LU8_B_501_ligand_refined.sdf,5s7f_LU8_B_501_protein_refined.pdb
5s7g_LU8_A_501,proto_test,1,1.295,True,False,5s7g_LU8_A_501_ligand_refined.sdf,5s7g_LU8_A_501_protein_refined.pdb
5s7g_LU8_B_501,proto_test,1,1.4747,True,False,5s7g_LU8_B_501_ligand_refined.sdf,5s7g_LU8_B_501_protein_refined.pdb
5s7h_LU8_B_501,proto_test,1,1.432,True,False,5s7h_LU8_B_501_ligand_refined.sdf,5s7h_LU8_B_501_protein_refined.pdb
5s7h_LU8_A_507,proto_test,1,1.8484,True,False,5s7h_LU8_A_507_ligand_refined.sdf,5s7h_LU8_A_507_protein_refined.pdb
5s7h_LU8_A_501,proto_test,1,1.325,True,False,5s7h_LU8_A_501_ligand_refined.sdf,5s7h_LU8_A_501_protein_refined.pdb
5s7h_LU8_A_508,proto_test,1,2.9682,False,False,5s7h_LU8_A_508_ligand_refined.sdf,5s7h_LU8_A_508_protein_refined.pdb
5s7i_LU8_A_508,proto_test,1,3.3189,False,False,5s7i_LU8_A_508_ligand_refined.sdf,5s7i_LU8_A_508_protein_refined.pdb
