complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
5rgv_UGG_A_1001,proto_test,1,0.9551,True,True,5rgv_UGG_A_1001_ligand_refined.sdf,5rgv_UGG_A_1001_protein_refined.pdb
5rgx_UGP_A_1001,proto_test,1,1.399,True,False,5rgx_UGP_A_1001_ligand_refined.sdf,5rgx_UGP_A_1001_protein_refined.pdb
5rh2_UH7_A_1001,proto_test,1,1.8335,True,False,5rh2_UH7_A_1001_ligand_refined.sdf,5rh2_UH7_A_1001_protein_refined.pdb
5rh3_UHA_A_1001,proto_test,1,1.8184,True,False,5rh3_UHA_A_1001_ligand_refined.sdf,5rh3_UHA_A_1001_protein_refined.pdb
5rhd_US7_A_408,proto_test,1,1.6916,True,False,5rhd_US7_A_408_ligand_refined.sdf,5rhd_US7_A_408_protein_refined.pdb
5s75_LU8_B_501,proto_test,1,4.2826,False,False,5s75_LU8_B_501_ligand_refined.sdf,5s75_LU8_B_501_protein_refined.pdb
5s75_LU8_A_508,proto_test,1,3.6867,False,False,5s75_LU8_A_508_ligand_refined.sdf,5s75_LU8_A_508_protein_refined.pdb
5s75_LU8_A_509,proto_test,1,4.2393,False,False,5s75_LU8_A_509_ligand_refined.sdf,5s75_LU8_A_509_protein_refined.pdb
5s75_LU8_A_501,proto_test,1,3.0567,False,False,5s75_LU8_A_501_ligand_refined.sdf,5s75_LU8_A_501_protein_refined.pdb
5s76_LU8_A_508,proto_test,1,4.1142,False,False,5s76_LU8_A_508_ligand_refined.sdf,5s76_LU8_A_508_protein_refined.pdb
5s76_LU8_B_501,proto_test,1,4.8664,False,False,5s76_LU8_B_501_ligand_refined.sdf,5s76_LU8_B_501_protein_refined.pdb
5s76_LU8_A_501,proto_test,1,3.2768,False,False,5s76_LU8_A_501_ligand_refined.sdf,5s76_LU8_A_501_protein_refined.pdb
5s76_LU8_A_507,proto_test,1,2.9757,False,False,5s76_LU8_A_507_ligand_refined.sdf,5s76_LU8_A_507_protein_refined.pdb
5s77_LU8_A_501,proto_test,1,3.8252,False,False,5s77_LU8_A_501_ligand_refined.sdf,5s77_LU8_A_501_protein_refined.pdb
5s77_LU8_A_509,proto_test,1,3.9355,False,False,5s77_LU8_A_509_ligand_refined.sdf,5s77_LU8_A_509_protein_refined.pdb
5s77_LU8_A_508,proto_test,1,3.3073,False,False,5s77_LU8_A_508_ligand_refined.sdf,5s77_LU8_A_508_protein_refined.pdb
5s77_LU8_B_501,proto_test,1,3.2656,False,False,5s77_LU8_B_501_ligand_refined.sdf,5s77_LU8_B_501_protein_refined.pdb
5s78_LU8_A_501,proto_test,1,3.2777,False,False,5s78_LU8_A_501_ligand_refined.sdf,5s78_LU8_A_501_protein_refined.pdb
5s78_LU8_A_506,proto_test,1,3.438,False,False,5s78_LU8_A_506_ligand_refined.sdf,5s78_LU8_A_506_protein_refined.pdb
5s78_LU8_B_501,proto_test,1,4.4204,False,False,5s78_LU8_B_501_ligand_refined.sdf,5s78_LU8_B_501_protein_refined.pdb
5s79_LU8_A_501,proto_test,1,3.5774,False,False,5s79_LU8_A_501_ligand_refined.sdf,5s79_LU8_A_501_protein_refined.pdb
5s79_LU8_A_507,proto_test,1,4.0624,False,False,5s79_LU8_A_507_ligand_refined.sdf,5s79_LU8_A_507_protein_refined.pdb
5s79_LU8_B_501,proto_test,1,3.5987,False,False,5s79_LU8_B_501_ligand_refined.sdf,5s79_LU8_B_501_protein_refined.pdb
5s7a_LU8_A_507,proto_test,1,3.4048,False,False,5s7a_LU8_A_507_ligand_refined.sdf,5s7a_LU8_A_507_protein_refined.pdb
5s7a_LU8_A_501,proto_test,1,3.5307,False,False,5s7a_LU8_A_501_ligand_refined.sdf,5s7a_LU8_A_501_protein_refined.pdb
5s7a_LU8_A_508,proto_test,1,4.4084,False,False,5s7a_LU8_A_508_ligand_refined.sdf,5s7a_LU8_A_508_protein_refined.pdb
5s7a_LU8_B_501,proto_test,1,3.2129,False,False,5s7a_LU8_B_501_ligand_refined.sdf,5s7a_LU8_B_501_protein_refined.pdb
5s7b_LU8_A_507,proto_test,1,3.1564,False,False,5s7b_LU8_A_507_ligand_refined.sdf,5s7b_LU8_A_507_protein_refined.pdb
5s7b_LU8_B_501,proto_test,1,3.3875,False,False,5s7b_LU8_B_501_ligand_refined.sdf,5s7b_LU8_B_501_protein_refined.pdb
5s7b_LU8_A_508,proto_test,1,3.7896,False,False,5s7b_LU8_A_508_ligand_refined.sdf,5s7b_LU8_A_508_protein_refined.pdb
5s7b_LU8_A_501,proto_test,1,3.5543,False,False,5s7b_LU8_A_501_ligand_refined.sdf,5s7b_LU8_A_501_protein_refined.pdb
5s7c_LU8_A_501,proto_test,1,3.3322,False,False,5s7c_LU8_A_501_ligand_refined.sdf,5s7c_LU8_A_501_protein_refined.pdb
5s7c_LU8_B_501,proto_test,1,4.22,False,False,5s7c_LU8_B_501_ligand_refined.sdf,5s7c_LU8_B_501_protein_refined.pdb
5s7c_LU8_A_507,proto_test,1,3.7859,False,False,5s7c_LU8_A_507_ligand_refined.sdf,5s7c_LU8_A_507_protein_refined.pdb
5s7d_LU8_A_501,proto_test,1,3.2228,False,False,5s7d_LU8_A_501_ligand_refined.sdf,5s7d_LU8_A_501_protein_refined.pdb
5s7d_LU8_A_509,proto_test,1,4.1715,False,False,5s7d_LU8_A_509_ligand_refined.sdf,5s7d_LU8_A_509_protein_refined.pdb
5s7d_LU8_A_508,proto_test,1,2.863,False,False,5s7d_LU8_A_508_ligand_refined.sdf,5s7d_LU8_A_508_protein_refined.pdb
5s7d_LU8_B_501,proto_test,1,3.6313,False,False,5s7d_LU8_B_501_ligand_refined.sdf,5s7d_LU8_B_501_protein_refined.pdb
5s7e_LU8_B_501,proto_test,1,4.4134,False,False,5s7e_LU8_B_501_ligand_refined.sdf,5s7e_LU8_B_501_protein_refined.pdb
5s7e_LU8_A_501,proto_test,1,3.2177,False,False,5s7e_LU8_A_501_ligand_refined.sdf,5s7e_LU8_A_501_protein_refined.pdb
5s7f_LU8_A_508,proto_test,1,3.616,False,False,5s7f_LU8_A_508_ligand_refined.sdf,5s7f_LU8_A_508_protein_refined.pdb
5s7f_LU8_A_509,proto_test,1,3.8773,False,False,5s7f_LU8_A_509_ligand_refined.sdf,5s7f_LU8_A_509_protein_refined.pdb
5s7f_LU8_A_501,proto_test,1,3.0582,False,False,5s7f_LU8_A_501_ligand_refined.sdf,5s7f_LU8_A_501_protein_refined.pdb
5s7f_LU8_B_501,proto_test,1,3.8118,False,False,5s7f_LU8_B_501_ligand_refined.sdf,5s7f_LU8_B_501_protein_refined.pdb
5s7g_LU8_A_501,proto_test,1,3.2243,False,False,5s7g_LU8_A_501_ligand_refined.sdf,5s7g_LU8_A_501_protein_refined.pdb
5s7g_LU8_B_501,proto_test,1,4.0536,False,False,5s7g_LU8_B_501_ligand_refined.sdf,5s7g_LU8_B_501_protein_refined.pdb
5s7h_LU8_B_501,proto_test,1,3.8148,False,False,5s7h_LU8_B_501_ligand_refined.sdf,5s7h_LU8_B_501_protein_refined.pdb
5s7h_LU8_A_507,proto_test,1,3.404,False,False,5s7h_LU8_A_507_ligand_refined.sdf,5s7h_LU8_A_507_protein_refined.pdb
