complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
3ix2_AC2_A_302,proto_test,1,0.8389,True,True,3ix2_AC2_A_302_ligand_refined.sdf,3ix2_AC2_A_302_protein_refined.pdb
3ix2_AC2_B_302,proto_test,1,0.9022,True,True,3ix2_AC2_B_302_ligand_refined.sdf,3ix2_AC2_B_302_protein_refined.pdb
3ix2_AC2_C_302,proto_test,1,1.1693,True,False,3ix2_AC2_C_302_ligand_refined.sdf,3ix2_AC2_C_302_protein_refined.pdb
4jdf_SPD_A_401,proto_test,1,2.4307,False,False,4jdf_SPD_A_401_ligand_refined.sdf,4jdf_SPD_A_401_protein_refined.pdb
5qtv_QLS_A_301,proto_test,1,2.8783,False,False,5qtv_QLS_A_301_ligand_refined.sdf,5qtv_QLS_A_301_protein_refined.pdb
5qtw_QLM_A_301,proto_test,1,3.2626,False,False,5qtw_QLM_A_301_ligand_refined.sdf,5qtw_QLM_A_301_protein_refined.pdb
5qtx_QLD_A_301,proto_test,1,2.8408,False,False,5qtx_QLD_A_301_ligand_refined.sdf,5qtx_QLD_A_301_protein_refined.pdb
5qty_QLJ_A_301,proto_test,1,1.9578,True,False,5qty_QLJ_A_301_ligand_refined.sdf,5qty_QLJ_A_301_protein_refined.pdb
5qtz_QMY_A_601,proto_test,1,0.6175,True,True,5qtz_QMY_A_601_ligand_refined.sdf,5qtz_QMY_A_601_protein_refined.pdb
5qu0_QMV_A_601,proto_test,1,2.7387,False,False,5qu0_QMV_A_601_ligand_refined.sdf,5qu0_QMV_A_601_protein_refined.pdb
5qur_LZ1_A_401,proto_test,1,0.0178,True,True,5qur_LZ1_A_401_ligand_refined.sdf,5qur_LZ1_A_401_protein_refined.pdb
5qus_LZ1_A_401,proto_test,1,0.018,True,True,5qus_LZ1_A_401_ligand_refined.sdf,5qus_LZ1_A_401_protein_refined.pdb
5qut_LZ1_A_401,proto_test,1,0.0178,True,True,5qut_LZ1_A_401_ligand_refined.sdf,5qut_LZ1_A_401_protein_refined.pdb
5ree_T1M_A_404,proto_test,1,0.8052,True,True,5ree_T1M_A_404_ligand_refined.sdf,5ree_T1M_A_404_protein_refined.pdb
5rfa_JGY_A_403,proto_test,1,1.6642,True,False,5rfa_JGY_A_403_ligand_refined.sdf,5rfa_JGY_A_403_protein_refined.pdb
5rgv_UGG_A_1001,proto_test,1,1.4956,True,False,5rgv_UGG_A_1001_ligand_refined.sdf,5rgv_UGG_A_1001_protein_refined.pdb
5rgx_UGP_A_1001,proto_test,1,2.1145,False,False,5rgx_UGP_A_1001_ligand_refined.sdf,5rgx_UGP_A_1001_protein_refined.pdb
5rh2_UH7_A_1001,proto_test,1,1.3626,True,False,5rh2_UH7_A_1001_ligand_refined.sdf,5rh2_UH7_A_1001_protein_refined.pdb
5rh3_UHA_A_1001,proto_test,1,1.8252,True,False,5rh3_UHA_A_1001_ligand_refined.sdf,5rh3_UHA_A_1001_protein_refined.pdb
5rhd_US7_A_408,proto_test,1,0.7287,True,True,5rhd_US7_A_408_ligand_refined.sdf,5rhd_US7_A_408_protein_refined.pdb
5s75_LU8_B_501,proto_test,1,1.6677,True,False,5s75_LU8_B_501_ligand_refined.sdf,5s75_LU8_B_501_protein_refined.pdb
5s75_LU8_A_508,proto_test,1,1.0286,True,False,5s75_LU8_A_508_ligand_refined.sdf,5s75_LU8_A_508_protein_refined.pdb
5s75_LU8_A_509,proto_test,1,1.4864,True,False,5s75_LU8_A_509_ligand_refined.sdf,5s75_LU8_A_509_protein_refined.pdb
5s75_LU8_A_501,proto_test,1,1.1082,True,False,5s75_LU8_A_501_ligand_refined.sdf,5s75_LU8_A_501_protein_refined.pdb
5s76_LU8_A_508,proto_test,1,1.5214,True,False,5s76_LU8_A_508_ligand_refined.sdf,5s76_LU8_A_508_protein_refined.pdb
5s76_LU8_B_501,proto_test,1,0.8854,True,True,5s76_LU8_B_501_ligand_refined.sdf,5s76_LU8_B_501_protein_refined.pdb
