epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
0,19.18818,18.22917,0.95901,17.36490,16.14701,1.21789,87.7
1,16.84703,15.89404,0.95299,15.16162,13.93958,1.22204,86.2
2,14.59925,13.64053,0.95872,13.88769,12.67765,1.21004,85.0
3,13.00957,12.04396,0.96561,12.72202,11.50650,1.21552,85.4
4,12.16695,11.17542,0.99153,11.99286,10.77060,1.22225,85.2
5,11.46100,10.45953,1.00147,11.10821,9.88727,1.22095,88.8
6,10.52523,9.52400,1.00122,10.52646,9.28079,1.24567,84.6
7,10.13539,9.13383,1.00155,10.08682,8.83757,1.24925,84.6
8,9.86941,8.87027,0.99914,9.59373,8.36751,1.22623,84.3
9,9.53229,8.52453,1.00776,9.71622,8.46254,1.25368,84.3
10,9.36297,8.36849,0.99448,9.39267,8.16629,1.22638,85.0
11,9.35620,8.36260,0.99361,9.36875,8.13305,1.23570,85.9
12,9.19180,8.19945,0.99235,9.44916,8.22911,1.22005,85.3
13,9.13904,8.14715,0.99189,9.35463,8.12908,1.22555,85.8
14,9.03183,8.04484,0.98698,9.29871,8.07019,1.22853,85.4
15,9.00432,8.01167,0.99266,9.35040,8.13016,1.22023,84.7
16,9.01075,8.01541,0.99534,9.22164,7.98947,1.23217,84.3
17,8.92175,7.93071,0.99103,9.23780,7.99320,1.24460,84.2
18,8.93867,7.94365,0.99502,9.20594,7.97843,1.22750,84.7
19,8.81369,7.82082,0.99287,9.29473,8.06315,1.23157,86.8
20,8.78062,7.77787,1.00275,9.08949,7.86122,1.22826,85.8
21,8.78497,7.79027,0.99470,9.10491,7.86488,1.24003,84.5
22,8.68661,7.69334,0.99327,9.02140,7.79539,1.22601,84.7
23,8.51963,7.52551,0.99412,9.03861,7.81263,1.22598,84.7
24,8.39102,7.39502,0.99599,8.85405,7.61688,1.23717,85.4
25,8.29811,7.30060,0.99751,8.70200,7.45990,1.24210,84.8
26,8.18856,7.18703,1.00153,8.64589,7.41020,1.23570,85.9
27,7.95837,6.95144,1.00692,8.59724,7.36206,1.23519,86.1
28,7.79707,6.78213,1.01494,8.35507,7.11084,1.24423,85.9
29,7.49540,6.47602,1.01938,8.19118,6.94593,1.24525,83.2
30,7.27244,6.25062,1.02182,8.08113,6.82629,1.25483,83.7
31,7.17109,6.14826,1.02283,7.98884,6.72712,1.26172,83.8
32,7.07625,6.05175,1.02450,7.83597,6.58037,1.25560,83.2
33,6.97405,5.95052,1.02354,7.85312,6.59603,1.25709,83.7
34,6.81475,5.79001,1.02474,7.77549,6.51772,1.25776,83.6
35,6.84330,5.81887,1.02443,7.57557,6.33079,1.24479,83.8
36,6.64602,5.61254,1.03349,7.63054,6.37307,1.25746,83.6
37,6.69675,5.66572,1.03103,7.44514,6.19734,1.24780,83.3
38,6.60582,5.57112,1.03470,7.71070,6.46421,1.24649,84.0
39,6.50433,5.46861,1.03572,7.54772,6.29396,1.25376,83.6
40,6.49607,5.46085,1.03522,7.36765,6.12007,1.24758,83.3
41,6.39389,5.35788,1.03601,7.41926,6.17924,1.24002,83.1
42,6.24270,5.20456,1.03814,7.53239,6.27839,1.25400,83.8
43,6.24904,5.21230,1.03674,7.49119,6.25068,1.24051,83.3
44,6.14088,5.10500,1.03588,7.33779,6.10127,1.23652,83.3
45,6.04511,5.00734,1.03777,7.55827,6.31515,1.24312,83.0
46,6.12357,5.08476,1.03881,7.43277,6.18466,1.24811,83.7
47,6.08638,5.05032,1.03605,7.46728,6.22979,1.23748,83.1
48,5.97584,4.93959,1.03624,7.24473,6.00583,1.23890,83.3
49,5.90910,4.87196,1.03714,7.32523,6.06965,1.25557,83.4
50,5.82925,4.79304,1.03621,7.41257,6.17224,1.24033,83.0
51,5.88935,4.84957,1.03978,7.20315,5.96171,1.24144,83.3
52,5.72183,4.67754,1.04429,7.13709,5.88199,1.25510,82.9
53,5.69586,4.65143,1.04444,7.33255,6.09544,1.23711,83.2
54,5.66899,4.61886,1.05013,7.18172,5.93783,1.24389,82.0
55,5.66796,4.61730,1.05066,7.22245,5.98506,1.23739,82.6
56,5.56095,4.51793,1.04302,6.89482,5.65067,1.24415,83.2
57,5.55448,4.51044,1.04404,7.10139,5.84803,1.25335,82.8
58,5.47985,4.43382,1.04603,6.94046,5.69363,1.24683,83.8
59,5.43010,4.38010,1.05001,7.15551,5.90714,1.24837,87.5
60,5.51824,4.47172,1.04652,7.02812,5.78719,1.24093,84.9
61,5.45305,4.40534,1.04771,7.21359,5.97666,1.23694,84.7
62,5.41488,4.36707,1.04781,7.10837,5.84992,1.25845,84.2
63,5.27675,4.23369,1.04306,6.98704,5.72620,1.26084,84.4
64,5.31123,4.25846,1.05277,6.86000,5.62530,1.23470,83.8
65,5.40718,4.36107,1.04612,6.83149,5.60258,1.22891,84.0
66,5.29297,4.24307,1.04991,6.69361,5.45135,1.24226,83.0
67,5.25454,4.20745,1.04709,6.85501,5.61859,1.23642,83.9
68,5.13267,4.08375,1.04893,6.76161,5.52616,1.23545,83.6
69,5.20713,4.15193,1.05520,6.92691,5.68653,1.24037,83.4
70,5.15731,4.11066,1.04665,6.68477,5.44784,1.23692,83.3
71,5.10442,4.05694,1.04748,6.89306,5.66126,1.23180,82.5
