complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
5rhd_US7_A_408,proto_test,1,1.0747,True,False,5rhd_US7_A_408_ligand_refined.sdf,5rhd_US7_A_408_protein_refined.pdb
5s75_LU8_B_501,proto_test,1,1.436,True,False,5s75_LU8_B_501_ligand_refined.sdf,5s75_LU8_B_501_protein_refined.pdb
5s75_LU8_A_508,proto_test,1,1.7722,True,False,5s75_LU8_A_508_ligand_refined.sdf,5s75_LU8_A_508_protein_refined.pdb
5s75_LU8_A_509,proto_test,1,3.889,False,False,5s75_LU8_A_509_ligand_refined.sdf,5s75_LU8_A_509_protein_refined.pdb
5s75_LU8_A_501,proto_test,1,1.4237,True,False,5s75_LU8_A_501_ligand_refined.sdf,5s75_LU8_A_501_protein_refined.pdb
5s76_LU8_A_508,proto_test,1,3.465,False,False,5s76_LU8_A_508_ligand_refined.sdf,5s76_LU8_A_508_protein_refined.pdb
5s76_LU8_B_501,proto_test,1,1.4333,True,False,5s76_LU8_B_501_ligand_refined.sdf,5s76_LU8_B_501_protein_refined.pdb
5s76_LU8_A_501,proto_test,1,1.4135,True,False,5s76_LU8_A_501_ligand_refined.sdf,5s76_LU8_A_501_protein_refined.pdb
5s76_LU8_A_507,proto_test,1,1.6469,True,False,5s76_LU8_A_507_ligand_refined.sdf,5s76_LU8_A_507_protein_refined.pdb
5s77_LU8_A_501,proto_test,1,1.3565,True,False,5s77_LU8_A_501_ligand_refined.sdf,5s77_LU8_A_501_protein_refined.pdb
5s77_LU8_A_509,proto_test,1,2.6132,False,False,5s77_LU8_A_509_ligand_refined.sdf,5s77_LU8_A_509_protein_refined.pdb
5s77_LU8_A_508,proto_test,1,1.9678,True,False,5s77_LU8_A_508_ligand_refined.sdf,5s77_LU8_A_508_protein_refined.pdb
5s77_LU8_B_501,proto_test,1,1.431,True,False,5s77_LU8_B_501_ligand_refined.sdf,5s77_LU8_B_501_protein_refined.pdb
5s78_LU8_A_501,proto_test,1,1.3549,True,False,5s78_LU8_A_501_ligand_refined.sdf,5s78_LU8_A_501_protein_refined.pdb
